iter	Passed	Remaining
465	731	838
466	732	836
467	733	833
468	734	831
469	735	829
470	736	827
471	737	825
472	738	823
473	739	821
474	740	818
475	742	816
476	743	814
477	744	812
478	745	810
479	746	808
480	747	806
481	748	804
482	749	802
483	750	800
484	751	798
485	752	796
486	753	793
487	755	792
488	756	790
489	757	788
490	758	786
491	759	784
492	760	782
493	761	780
494	762	778
495	763	775
496	764	773
497	765	771
498	766	769
499	767	767
500	768	765
501	770	764
502	771	762
503	772	760
504	773	758
505	774	756
506	775	754
507	776	752
508	777	750
509	778	748
510	780	746
511	781	744
512	782	742
513	783	741
514	785	739
515	786	737
516	787	735
517	788	733
518	789	731
519	790	729
520	791	727
521	792	725
522	793	723
523	794	721
524	795	719
525	796	717
526	797	716
527	799	714
528	800	712
529	801	711
530	802	709
531	803	707
532	804	705
533	805	703
534	807	701
535	808	699
536	809	697
537	810	695
538	811	693
539	811	691
540	812	689
541	814	688
542	815	686
543	816	684
544	817	682
545	818	680
546	819	678
547	820	676
548	821	675
549	822	673
550	823	671
551	825	669
552	826	667
553	827	665
554	828	664
555	829	662
556	830	660
557	831	658
558	832	656
559	833	654
560	834	652
561	835	651
562	836	649
563	837	647
564	838	645
565	839	644
566	840	642
567	841	640
568	843	638
569	844	636
570	845	635
571	846	633
572	847	631
573	848	629
574	849	628
575	851	626
576	852	624
577	853	622
578	854	621
579	855	619
580	856	617
581	857	615
582	859	614
583	860	612
584	861	610
585	862	609
586	863	607
587	864	605
588	865	603
589	866	602
590	867	600
591	868	598
592	869	596
593	870	595
594	871	593
595	872	591
596	874	590
597	875	588
598	876	586
599	877	584
600	877	582
601	878	581
602	879	579
603	881	577
604	882	575
605	883	574
606	884	572
607	885	570
608	886	568
609	887	567
610	888	565
611	889	564
612	890	562
613	891	560
614	893	559
615	894	557
616	895	555
617	896	554
618	897	552
619	898	550
620	899	549
621	900	547
622	901	545
623	902	544
624	904	542
625	905	540
626	906	539
627	907	537
628	908	535
629	909	534
630	910	532
631	911	530
632	912	529
633	913	527
634	914	525
635	915	524
636	916	522
637	918	521
638	919	519
639	920	517
640	921	516
641	922	514
642	923	512
643	924	511
644	925	509
645	926	507
646	927	506
647	929	504
648	930	503
649	931	501
650	932	499
651	933	498
652	934	496
653	935	494
654	936	493
655	937	491
656	938	489
657	939	488
658	940	486
659	941	485
660	942	483
661	943	481
662	944	480
663	946	478
664	947	477
665	948	475
666	949	474
667	950	472
668	951	470
669	952	469
670	953	467
671	954	465
672	955	464
673	956	462
674	958	461
675	959	459
676	960	458
677	961	456
678	962	455
679	963	453
680	964	451
681	965	450
682	966	448
683	967	447
684	968	445
685	970	443
686	971	442
687	972	440
688	973	439
689	974	437
690	975	436
691	976	434
692	977	433
693	978	431
694	980	430
695	981	428
696	982	426
697	983	425
698	984	423
699	985	422
700	986	420
701	987	419
702	988	417
703	989	415
704	990	414
705	991	412
706	992	411
707	993	409
708	994	408
709	995	406
710	996	405
711	997	403
712	998	401
713	999	400
714	1000	398
715	1001	397
716	1002	395
717	1003	394
718	1005	392
719	1006	391
720	1007	389
721	1008	388
722	1009	386
723	1010	385
724	1011	383
725	1012	382
726	1013	380
727	1015	379
728	1016	377
729	1017	376
730	1018	374
731	1019	373
732	1020	371
733	1022	370
734	1023	368
735	1024	367
736	1025	365
737	1026	364
738	1027	362
739	1028	361
740	1029	359
741	1030	358
742	1032	356
743	1033	355
744	1034	354
745	1035	352
746	1036	351
747	1037	349
748	1038	348
749	1039	346
750	1041	345
751	1042	343
752	1043	342
753	1044	340
754	1045	339
755	1046	337
756	1047	336
757	1048	334
758	1049	333
759	1050	331
760	1052	330
761	1053	328
762	1054	327
763	1055	326
764	1056	324
765	1057	323
766	1058	321
767	1059	320
768	1061	318
769	1062	317
770	1063	315
771	1064	314
772	1065	313
773	1067	311
774	1068	310
775	1069	308
776	1070	307
777	1071	305
778	1072	304
779	1073	302
780	1074	301
781	1075	299
782	1076	298
783	1077	296
784	1079	295
785	1080	294
786	1081	292
787	1082	291
788	1083	289
789	1084	288
790	1085	286
791	1086	285
792	1087	283
793	1089	282
794	1090	281
795	1091	279
796	1092	278
797	1093	276
798	1094	275
799	1096	274
800	1097	272
801	1098	271
802	1099	269
803	1100	268
804	1101	266
805	1102	265
806	1103	263
807	1104	262
808	1105	261
809	1106	259
810	1107	258
811	1108	256
812	1109	255
813	1111	253
814	1111	252
815	1113	251
816	1114	249
817	1115	248
818	1116	246
819	1117	245
820	1118	243
821	1119	242
822	1120	241
823	1121	239
824	1123	238
825	1124	236
826	1125	235
827	1126	234
828	1127	232
829	1128	231
830	1129	229
831	1130	228
832	1131	226
833	1133	225
834	1134	224
835	1135	222
836	1136	221
837	1137	219
838	1139	218
839	1140	217
840	1141	215
841	1142	214
842	1143	212
843	1144	211
844	1145	210
845	1146	208
846	1147	207
847	1148	205
848	1149	204
849	1151	203
850	1152	201
851	1153	200
852	1154	199
853	1155	197
854	1156	196
855	1158	194
856	1159	193
857	1160	192
858	1161	190
859	1162	189
860	1163	187
861	1164	186
862	1166	185
863	1167	183
864	1168	182
865	1169	181
866	1170	179
867	1171	178
868	1172	176
869	1173	175
870	1175	174
871	1176	172
872	1177	171
873	1178	169
874	1179	168
875	1180	167
876	1182	165
877	1183	164
878	1184	163
879	1185	161
880	1186	160
881	1187	158
882	1188	157
883	1189	156
884	1190	154
885	1192	153
886	1193	152
887	1194	150
888	1195	149
889	1197	147
890	1198	146
891	1199	145
892	1200	143
893	1201	142
894	1202	141
895	1203	139
896	1204	138
897	1205	136
898	1207	135
899	1208	134
900	1209	132
901	1210	131
902	1211	130
903	1212	128
904	1213	127
905	1214	126
906	1215	124
907	1216	123
908	1217	121
909	1218	120
910	1219	119
911	1220	117
912	1222	116
913	1223	115
914	1224	113
915	1225	112
916	1226	111
917	1227	109
918	1228	108
919	1229	106
920	1230	105
921	1232	104
922	1233	102
923	1234	101
924	1235	100
925	1236	98
926	1237	97
927	1238	96
928	1239	94
929	1240	93
930	1242	92
931	1243	90
932	1244	89
933	1245	88
934	1246	86
935	1247	85
936	1248	83
937	1249	82
938	1250	81
939	1251	79
940	1252	78
941	1253	77
942	1255	75
943	1256	74
944	1257	73
945	1258	71
946	1259	70
947	1261	69
948	1262	67
949	1263	66
950	1264	65
951	1265	63
952	1266	62
953	1267	61
954	1269	59
955	1270	58
956	1271	57
957	1272	55
958	1273	54
959	1274	53
960	1276	51
961	1277	50
962	1278	49
963	1279	47
964	1280	46
965	1281	45
966	1282	43
967	1283	42
968	1284	41
969	1286	39
970	1287	38
971	1288	37
972	1289	35
973	1290	34
974	1291	33
975	1292	31
976	1293	30
977	1295	29
978	1296	27
979	1297	26
980	1298	25
981	1299	23
982	1300	22
983	1301	21
984	1302	19
985	1303	18
986	1304	17
987	1306	15
988	1307	14
989	1308	13
990	1309	11
991	1310	10
992	1311	9
993	1312	7
994	1313	6
995	1314	5
996	1316	3
997	1316	2
998	1318	1
999	1319	0
